precursor,fragment,ion,standard_ion,CTRL_n1_1,CTRL_n1_2,CTRL_n1_3,Lyso0min_n1_1,Lyso0min_n1_2,Lyso0min_n1_3,Lyso10min_n1_1,Lyso10min_n1_2,Lyso10min_n1_3,Lyso20min_n1_1,Lyso20min_n1_2,Lyso20min_n1_3,Lyso5min_n1_1,Lyso5min_n1_2,Lyso5min_n1_3
828.61,741.615,PS(O-)40:2,PS31:1,69.26,60.47,56.805,52.82,50.56,56.135,65.91,53.005,55.38,63.38,69.965,58.88,68.035,63.44,53.18
829.49,241.045,PI34:4,PI31:1,2.06,1.345,1.02,1.24,1.14,0.935,1.36,1.04,1.245,0.97,2.76,1.935,2.395,1.28,2.64
830.63,743.635,PS(O-)40:1,PS31:1,37.59,29.88,24.46,32.205,32.43,30.985,35.385,36.075,35.93,31.45,33.405,33.38,40.89,45.86,34.74
831.5,241.045,PI34:3,PI31:1,33.385,38.29,24.245,30.665,36.665,39.895,32.13,31.73,36.12,38.345,40.025,37.175,35.695,35.03,34.73
832.64,745.645,PS(O-)40:0,PS31:1,94.97,98.195,65.005,54.04,67.685,65.835,57.03,65.015,62.88,72.395,60.775,51.46,73.975,71.325,61.645
833.52,241.045,PI34:2,PI31:1,5796.51,5528.185,4874.395,5121.835,5131.675,5175.25,5795.99,5243.775,5859.47,6025.17,5797.795,6059.13,6048.575,6022.45,5396.045
834.53,747.535,PS40:6,PS31:1,1407.585,1364.83,1061.235,999.48,1048.555,1045.375,1188.235,1004.96,1080.88,1053.835,1002.875,987.995,1135.255,1163.74,1049.745
835.53,241.045,PI34:1,PI31:1,13382.23,12986.67,11918.715,11897.475,12024.115,12075.395,12886.67,11889.285,12810.82,12572.325,13530.56,12808.855,14019.815,13289.3,11775.125
836.54,749.545,PS40:5,PS31:1,1931.575,1623.6,1365.135,1199.59,1280.61,1315.32,1406.425,1273.385,1216.03,1262.915,1205.175,1253.395,1468.465,1431.505,1350.515
837.55,241.045,PI34:0,PI31:1,868.53,1032.435,811.155,789.625,772.98,777.545,849.025,816.42,924.06,876.035,1024.03,982.395,927.435,929.76,817.31
838.56,751.565,PS40:4,PS31:1,342.095,287.69,223.31,229.915,241.505,262.945,267.91,215.545,241.96,234.515,243.575,204.875,260.65,269.175,246.755
839.51,241.045,PI(O-)36:6,PI31:1,16.87,14.395,14.045,15.965,11.685,12.025,13.315,21.04,14.33,14.375,17.515,14.515,18.985,11.19,18.7
840.58,753.575,PS40:3,PS31:1,85.855,93.345,70.145,83.83,82.05,81.465,89.54,69.475,72.87,77.285,78.61,81.9,101.53,88.79,83.975
841.52,241.045,PI(O-)36:5,PI31:1,0.565,1.745,0.715,1.765,1.545,0.71,0.795,1.915,1.445,0.955,0.955,1.425,2.045,1.36,1.305
842.59,755.595,PS40:2,PS31:1,690.335,593.07,491.235,574.49,551.99,571.905,641.265,548.485,548.16,646.04,634.02,634.01,672.39,680.89,578.625
843.54,241.045,PI(O-)36:4,PI31:1,6.64,3.765,4.51,4.725,5.38,4.64,4.815,4.075,6.175,5.385,5.86,4.42,3.28,5.57,4.025
844.61,757.605,PS40:1,PS31:1,337.91,321.755,230.01,301.225,259.37,303.685,317.98,273.295,267.15,313.24,318.155,324.36,357.83,348.77,289.3
845.55,241.045,PI(O-)36:3,PI31:1,21.605,18.43,17.84,20.78,14.56,19.48,17.455,19.22,22.37,18.64,17.38,17.365,23.265,21.75,22.79
846.62,759.625,PS40:0,PS31:1,22.17,21.505,18.2,24.595,19.575,18.39,23.31,17.88,16.26,21.22,24.97,18.885,21.465,20.32,19.54
847.57,241.045,PI(O-)36:2,PI31:1,538.495,516.42,398.535,465.76,489.88,475.51,523.215,485.875,446.805,583.28,551.32,516.43,533.22,525.625,431.535
848.58,761.585,PS(O-)42:6,PS31:1,5.75,6.995,4.84,4.835,6.29,7.98,5.58,3.545,6.96,6.31,3.915,5.475,4.32,7.845,5.775
849.59,241.045,PI(O-)36:1,PI31:1,803.21,658.23,560.84,655.025,611.23,769.635,697.16,611.19,604.945,704.55,691.015,635.05,712.255,778.37,569.69
850.6,763.595,PS(O-)42:5,PS31:1,5.75,6.635,6.995,6.565,8.715,9.165,10.425,7.86,8.75,9.18,6.505,7.245,9.49,7.75,5.845
851.6,241.045,PI(O-)36:0,PI31:1,201.27,205.115,209.625,188.175,232.445,176.07,212.04,200.53,211.165,251.31,181.47,195.67,210.555,242.535,199.49
852.61,765.615,PS(O-)42:4,PS31:1,2.15,1.805,1.31,2.06,3.18,2.3,4.135,3.405,2.77,3.955,2.295,4.03,3.97,3.93,4.535
853.49,241.045,PI36:6,PI31:1,51.955,57.02,56.895,45.64,65.34,55.87,53.005,61.365,53.995,65.82,39.075,50.76,46.395,75.665,51.805
854.63,767.635,PS(O-)42:3,PS31:1,2.825,2.075,2.295,3.42,2.905,4.195,4.04,4.19,2.13,5.33,3.625,3.48,3.31,3.46,2.63
855.5,241.045,PI36:5,PI31:1,65.18,66.805,71.64,79.165,55.42,62.975,66.86,61.18,64.565,70.185,57.485,73.69,83.585,65.095,92.26
856.64,769.645,PS(O-)42:2,PS31:1,32.695,24.045,20.21,21.63,23.14,25.505,28.745,22.83,29.35,30.04,32.195,28.02,28.145,28.655,27.56
857.52,241.045,PI36:4,PI31:1,549.69,551.725,405.18,485.935,406.325,449.255,470.865,411.18,385.915,441.775,458.725,442.925,473.755,511.755,426.16
858.66,771.665,PS(O-)42:1,PS31:1,25.52,17.89,23.33,28.495,17.985,25.405,23.265,20.485,20.72,29.54,25.765,22.42,25.23,28.46,23.535
859.53,241.045,PI36:3,PI31:1,1189.5,1339.69,1001.84,1071.72,1099.135,1044.345,1156.385,1081.91,1031.905,1172.77,1224.2,1147.18,1251.01,1178.125,1053.72
860.67,773.675,PS(O-)42:0,PS31:1,13.735,10.945,12.245,10.685,11.83,8.195,10.82,9.2,9.21,11.785,9.145,9.185,11.75,11.725,8.15
861.55,241.045,PI36:2,PI31:1,31464.78,30239.885,25463.43,28937.1,25851.045,27497.165,31693.65,28503.04,28574.89,30986.01,33206.175,29896.935,31375.15,30629.53,27147.075
862.56,775.565,PS42:6,PS31:1,25.545,17.555,20.995,21.265,22.085,20.74,20.3,20.245,19.37,19.575,14.39,21.63,19.255,21.765,20.605
863.56,241.045,PI36:1,PI31:1,27133.05,24988.94,23879.185,23651.73,22121.845,22792.285,24837.61,23785.56,22892.225,25519.465,27236.77,23327.53,26289.495,26089.55,22254.975
864.58,777.575,PS42:5,PS31:1,18.69,18.73,13.53,14.06,12.18,16.22,17.455,14.805,14.3,13.59,14.74,14.42,16.05,18.34,13.565
865.58,241.045,PI36:0,PI31:1,1444.145,1356.925,1197.015,1193.24,1169.735,1240,1318,1204.965,1198.62,1274.355,1367.66,1208.015,1344.235,1358.255,1205.47
866.59,779.595,PS42:4,PS31:1,8.025,5.76,7.175,6.735,7.96,7.415,7.935,7.68,7.26,11.2,10.34,6.44,8.02,8.375,8.64
867.54,241.045,PI(O-)38:6,PI31:1,27.11,25.535,22.01,30.345,26.125,22.395,19.94,30.75,22.7,33.82,23.83,26.615,23.585,29.7,20.835
868.61,781.605,PS42:3,PS31:1,30.115,30.735,29.105,30.385,29.165,30.455,33.925,32.64,24.74,37.22,30.2,25.505,42.46,35.235,37.105
869.55,241.045,PI(O-)38:5,PI31:1,42.015,50.53,47.585,42.485,52.08,41.365,51.365,53.685,42.155,57.105,44.3,46.115,53.7,44.885,42.375
870.62,783.625,PS42:2,PS31:1,146.095,121.08,118.735,147.78,129.465,124.055,153.455,134.58,116.33,163.745,143.245,124.25,184.24,151.375,140.855
871.57,241.045,PI(O-)38:4,PI31:1,89.11,80.31,69.07,76,79.175,71.085,82.085,75.25,69.955,98.135,76.4,72.08,113.25,86.31,74.225
872.64,785.645,PS42:1,PS31:1,88.055,87.19,71.615,83.4,78.9,85.76,99.165,86.07,91.58,100.17,89.595,85.45,94.97,101.48,87.895
873.59,241.045,PI(O-)38:3,PI31:1,242.15,188.52,171.465,187.94,180.17,209.1,221.12,193.74,220.865,241.58,226.405,212.025,259.36,221.13,221.225
874.65,787.655,PS42:0,PS31:1,5.815,3.505,6.865,8.38,5.335,7.065,5.75,5.37,5.49,6.72,4.875,5.01,6.61,6.105,3.785
875.6,241.045,PI(O-)38:2,PI31:1,864.37,870.805,684.59,722.7,694.75,760.515,801.455,711.72,708.195,857.075,828.865,714.295,877.955,840.26,702.595
876.61,789.615,PS(O-)44:6,PS31:1,0.395,0.305,0.32,0.375,0.405,0.31,0.395,0.18,0.29,0.825,0.45,0.165,0.245,0.75,0.325
877.62,241.045,PI(O-)38:1,PI31:1,311,258.745,237.72,244.655,278.535,277.675,324.93,257.66,260.39,291.99,296.145,238.835,285.605,278.75,241.59
878.63,791.635,PS(O-)44:5,PS31:1,0.555,0.11,0.14,0.165,0.255,0.37,0.08,0.105,0.32,0.095,0.26,0.07,0.145,0.49,0.29
879.63,241.045,PI(O-)38:0,PI31:1,30.365,23.565,24.58,37.675,31.67,33.605,38.45,31.38,29.69,40.13,29.575,30.08,41.45,38.285,28.06
880.64,793.645,PS(O-)44:4,PS31:1,0,0,0.075,0.07,0.175,0.105,0.1,0.16,0.22,0.125,0.08,0,0,0.17,0.15
881.52,241.045,PI38:6,PI31:1,199.885,223.92,175.435,191.075,203.12,169.37,190.905,171.295,179.915,191.055,190.93,192.415,225.545,202.25,190.235
882.66,795.665,PS(O-)44:3,PS31:1,0.065,0.12,0.15,0.3,0.615,0.095,0.36,0.31,0.25,0.135,0.41,0.125,0.485,0.25,0.45
883.53,241.045,PI38:5,PI31:1,3367.215,3457.73,2901.885,2928.91,2918.235,2967.03,3009.245,2768.405,2734.865,3006.84,3178.665,3015.335,3379.315,3072.605,2980.855
884.67,797.675,PS(O-)44:2,PS31:1,1.27,1.635,1.23,2.1,1.405,1.88,1.735,1.925,0.82,1.695,1.44,1.92,2.49,1.865,1.55
885.55,241.045,PI38:4,PI31:1,7901.035,7614.78,6819.8,6833.15,6712.725,6524.005,7032.625,6347.74,5866.99,7356.37,6775.15,7054.1,7781.56,7224.635,6402.43
886.69,799.695,PS(O-)44:1,PS31:1,0.98,1.13,0.89,1.405,0.58,2.05,1.26,2.04,0.99,1.71,1.725,1.89,1.725,1.385,0.84
887.56,241.045,PI38:3,PI31:1,4594.94,4262.855,3679.535,3840.1,4004.605,4308.33,4100.53,3994.475,3873,4514.36,4412.61,4402.615,4714.355,4497.11,3948.045
888.71,801.705,PS(O-)44:0,PS31:1,4.325,3.2,2.915,3.33,3.6,2.83,3.49,4.24,3.34,5.34,2.68,2.425,1.995,3.5,1.14
889.58,241.045,PI38:2,PI31:1,5107.68,4747.355,4047.925,4375.68,4456.115,4756.965,5027.345,4768.07,4719.45,5732.415,5234.165,5206.515,5385.81,5227.83,4642.715
890.59,803.595,PS44:6,PS31:1,5.44,4.64,5.095,4.085,5.81,7.12,5.195,3.99,5.62,7.48,5.27,4.3,7.415,6.845,5.67
891.6,241.045,PI38:1,PI31:1,1251.59,1115.97,1110.075,1138.085,1051.67,1197.425,1188.68,1130.185,1209.865,1413.195,1335.59,1236.31,1319.79,1326.255,1088.88
892.61,805.605,PS44:5,PS31:1,2.8,1.27,2.335,1.525,1.85,1.875,2.25,1.975,1.65,2.075,1.82,1.74,2.735,2.435,2.52
893.61,241.045,PI38:0,PI31:1,154.765,171.695,150.91,143.6,154.555,138.685,150.405,136.275,149.455,167.795,151.705,172.955,157.92,189.2,143.08
894.62,807.625,PS44:4,PS31:1,1.045,0.57,0.52,1.095,0.615,1.095,0.51,1.56,1.1,0.59,0.4,0.72,0.76,0.83,0.775
895.57,241.045,PI(O-)40:6,PI31:1,31.44,50.29,37.4,39.605,32.965,30.96,29.47,36.7,26.06,36.065,34.35,52.33,35.915,45.59,41.12
896.64,809.645,PS44:3,PS31:1,0.915,0.375,0.98,0.83,1,1.01,1.475,0.89,0.47,0.765,1.05,0.88,0.975,1.265,1.355
897.59,241.045,PI(O-)40:5,PI31:1,41.36,38.33,35.37,39.37,36.42,37.365,38.2,32.87,42.115,34.035,40.895,34.955,36.23,41.13,34.84
898.65,811.655,PS44:2,PS31:1,2.81,3.87,2.485,3.155,3.26,3.5,4.37,2.72,3.31,4.82,3.115,6.47,5.27,3.73,3.305
899.6,241.045,PI(O-)40:4,PI31:1,99.115,89.255,88.42,80.885,84.965,84.84,91.385,87.01,82.35,97.655,95.31,83.115,96.655,89.33,78.755
900.67,813.675,PS44:1,PS31:1,0.565,0.58,0.71,0.96,0.365,0.645,1.23,0.355,0.96,0.29,0.39,0.32,0.51,0.65,0.525
901.62,241.045,PI(O-)40:3,PI31:1,292.33,245.91,198.17,232.925,220.74,248.11,232.455,228.875,235.3,267.975,300.265,229.085,296.595,254.955,246.51
902.68,815.685,PS44:0,PS31:1,0,0.08,0,0,0,0,0,0,0,0,0,0,0.235,0,0.04
903.63,241.045,PI(O-)40:2,PI31:1,174.745,136.98,149.6,145.955,137.16,172.82,159.775,177.74,159.165,181.54,187.04,171.25,173.525,174.575,155.74
905.65,241.045,PI(O-)40:1,PI31:1,35.585,27.65,30.93,29.67,32.11,28.045,32.425,41.015,36.66,41.855,40.455,38.97,34.66,37.23,31.85
907.66,241.045,PI(O-)40:0,PI31:1,63.57,62.76,51.19,64.18,62.695,57.915,58.265,53.42,57.865,63.755,65.395,61.405,77.36,76.715,56.32
909.55,241.045,PI40:6,PI31:1,480.015,512.06,423.33,389.955,433.34,447.58,438.635,408.235,429.915,459.91,479.875,398.55,465.455,482.05,416.15
911.56,241.045,PI40:5,PI31:1,743.63,740.195,653.16,654.92,722.24,726.54,689.205,626.77,675.945,728.095,830.685,768.6,783.285,740.26,670.44
913.58,241.045,PI40:4,PI31:1,476.8,488.385,392.955,460.54,417.39,382.66,418.01,374.23,438.85,436.315,503.75,439.22,459.845,461.51,429.955
915.6,241.045,PI40:3,PI31:1,457.67,456.745,409.445,455.785,429.385,452.49,484.005,454.27,481.03,548.065,518.43,520.3,544.775,516.4,431.71
917.61,241.045,PI40:2,PI31:1,589.94,542.595,466.935,575.73,519.03,552.7,589.24,559.095,550.08,663.045,663.575,562.66,632.19,597.73,529.68
919.63,241.045,PI40:1,PI31:1,307.655,295.155,285.62,263.95,288.675,237.195,253.48,253.14,252.405,347.665,254.935,287.71,300.275,318.965,249.14
921.64,241.045,PI40:0,PI31:1,165.525,155.015,156.305,139.77,154.895,124.255,136.41,147.475,145.485,192.29,127.81,169.55,130.955,204.165,148.63
923.6,241.045,PI(O-)42:6,PI31:1,25.62,41.965,35.615,27.085,49.145,23.935,29.065,30.835,32.54,40.45,26.16,47.34,34.465,45.76,30.16
925.62,241.045,PI(O-)42:5,PI31:1,2.79,4.58,5.01,3.145,4.91,4.795,5.23,4.715,4.73,6.89,3.35,5.36,4.425,3.545,3.345
927.63,241.045,PI(O-)42:4,PI31:1,5.205,6.51,4.59,3.155,5.215,5.345,4.825,3.505,6.17,6.355,8.15,5.43,3.47,5.155,5.865
929.65,241.045,PI(O-)42:3,PI31:1,17.82,23.335,15.24,18.325,18.775,21.855,17.575,17.505,20.365,22.17,25.115,17.325,22.58,22.385,17.94
931.66,241.045,PI(O-)42:2,PI31:1,28.265,18.44,21.705,24.665,24.575,25.24,22.845,20.995,20.33,30.315,20.37,20.02,32.99,28.67,18.065
933.68,241.045,PI(O-)42:1,PI31:1,10,11.55,10.215,9.425,8.18,10.425,13.24,9.34,11.475,13.175,12.565,13.36,11.26,14.64,5.59
935.7,241.045,PI(O-)42:0,PI31:1,3.725,4.67,3.685,3.035,3.29,3.99,4.05,4.58,4.405,5.18,3.13,2.49,3.19,4.19,3.8
937.58,241.045,PI42:6,PI31:1,5.075,3.71,4.295,3.445,4.915,5.58,3.895,5.225,2.585,4.57,1.63,3.12,3.59,5.29,5.42
939.6,241.045,PI42:5,PI31:1,6.69,7.405,5.62,4.835,6.235,6.83,4.005,7.47,5.74,7.655,7.38,5.28,5.855,6.075,7.67
941.61,241.045,PI42:4,PI31:1,34.98,22.905,27.49,26.675,33.09,26.075,29.505,30.29,19.815,35.925,29.81,28.37,28.24,35.905,29.16
943.63,241.045,PI42:3,PI31:1,188.21,181.52,143.775,157,176.305,157.18,158.985,178.32,169.41,240,166.325,194.19,189.97,196.02,188.1
945.64,241.045,PI42:2,PI31:1,154.645,173.895,129.845,144.4,145.585,143.66,137.215,155.27,144.72,172.36,149.095,166.35,169.09,165.605,153.31
947.66,241.045,PI42:1,PI31:1,42.79,46.025,35.255,38.365,41.905,33.595,37.175,37.57,41.955,50.15,39.885,52.68,46.69,52.06,43.345
949.67,241.045,PI42:0,PI31:1,11.75,12.575,9.775,11.04,11.155,8.61,9.245,7.1,11.23,16.78,9.165,8.515,8.78,15.715,8.46
951.63,241.045,PI(O-)44:6,PI31:1,4.46,6.45,4.515,2.11,6.345,2.78,4.75,2.955,4.3,5.095,3.24,3.275,3.76,5.88,4.425
953.65,241.045,PI(O-)44:5,PI31:1,1.5,1.505,1.54,0.575,2.965,1.14,2.105,0.905,0.875,3.305,2.04,0.84,2.4,4.415,0.675
955.66,241.045,PI(O-)44:4,PI31:1,0.89,1.06,1.09,1.03,1.495,1,1.385,1.24,2.045,2.49,0.805,0.97,0.975,0.74,1.125
957.68,241.045,PI(O-)44:3,PI31:1,2.355,2.975,2.535,1.76,3.62,3.16,3.1,2.96,3.665,3.31,1.945,2.86,5.135,3.06,2.745
959.7,241.045,PI(O-)44:2,PI31:1,1.95,2.225,1.705,1.56,1.67,1.955,3.96,2.78,1.785,3.045,2.85,2.635,1.795,1.66,2.885
961.71,241.045,PI(O-)44:1,PI31:1,0.6,0.87,1.38,1.685,1.72,0.96,1.215,2.035,1.98,1.27,0.895,1.06,0.46,1.49,0.98
963.73,241.045,PI(O-)44:0,PI31:1,0.43,0.59,0.82,0.7,0.875,0.355,0.415,1.045,0.345,0.7,0.47,0.715,0.405,1.12,0.275
965.61,241.045,PI44:6,PI31:1,11.295,6.295,7.305,5.33,8.7,7.825,6.765,9.615,9,11.84,9.215,7.96,8.62,8.015,8.56
967.63,241.045,PI44:5,PI31:1,21.09,21.25,13.085,18.625,22.685,19.605,19.8,18.79,15.355,20.55,15.415,16.83,21.055,21.61,26.535
969.64,241.045,PI44:4,PI31:1,12.975,13.77,15.62,15,14.595,16.435,14.095,11.33,12.4,20.405,13.065,14.37,12.605,16.315,12.87
971.66,241.045,PI44:3,PI31:1,13.685,13.995,9.805,8.48,11.765,10.835,11.455,15.055,12.24,15.645,12.28,13.505,14.12,17.37,13.08
973.67,241.045,PI44:2,PI31:1,7.93,11.38,7.23,9.58,8.28,6.855,8.135,9.68,6.2,11.64,10.53,11.94,9.09,8.195,13.22
975.69,241.045,PI44:1,PI31:1,9.05,8.735,8.125,7.49,6.29,8.28,5.98,8.04,6.705,9.435,8.925,5.35,6.545,8.025,6.31
977.71,241.045,PI44:0,PI31:1,2.11,7.135,4.445,2.28,5.955,2.01,3.195,3.36,2.88,7.465,2.265,3.775,1.175,6.585,2.7
